point_id,sensor_id,depth_cm,sample_time,location,farm_id,VWC,Temperature,Dielectric Constant,Apparent EC,Pore Water EC,sensor_SN,height,farm_code,pH,AP,NH₄⁺-N,AK,merged,merged_at,updated_at,grinding_storage_location,grinding_storage_status,grinding_storage_time,original_storage_location,original_storage_status,original_storage_time,chi2_merged,chi2_merged_at,min_chi2_merged,min_chi2_merged_at
37,037-A,26-00-01-134,2025-05-09 13:49:20,"{'type': 'Point', 'coordinates': [120.301723, 49.456471]}",Hulunbuir_TNH_0,31.8,22.9,18.0,281.0,1615.0,014AcclimaTR310N3.217009934,0.0,150725NK0106037,6.8,20.191,9.885,17.333,True,2025-11-10 03:26:31.071,2025-11-10 03:13:38.111,X01B0801020305,已入库,2025-10-22 09:59:45.328,X01A0801020305,已入库,2025-10-22 09:59:45.326,True,2025-11-10 03:29:16.773,True,2025-11-10 05:47:20.311
38,038-A,26-00-01-135,2025-05-09 13:51:52,"{'type': 'Point', 'coordinates': [120.303683, 49.456924]}",Hulunbuir_TNH_0,30.9,22.8,17.3,279.0,1675.0,014AcclimaTR310N3.217009934,0.0,150725NK0106037,6.78,15.992,4.545,20.588,True,2025-11-10 03:26:31.086,2025-11-10 03:13:38.122,X01B0801020306,已入库,2025-10-22 09:59:45.334,X01A0801020306,已入库,2025-10-22 09:59:45.332,True,2025-11-10 03:29:16.773,True,2025-11-10 05:47:20.311
39,039-A,26-00-01-136,2025-05-09 13:53:38,"{'type': 'Point', 'coordinates': [120.305671, 49.457382]}",Hulunbuir_TNH_0,30.8,23.0,17.2,255.0,1538.0,014AcclimaTR310N3.217009934,0.0,150725NK0106037,6.66,15.305,7.586,30.0,True,2025-11-10 03:26:31.102,2025-11-10 03:13:38.129,X01B0801020307,已入库,2025-10-22 09:59:45.340,X01A0801020307,已入库,2025-10-22 09:59:45.338,True,2025-11-10 03:29:16.773,True,2025-11-10 05:47:20.311
40,040-A,26-00-01-137,2025-05-09 13:56:03,"{'type': 'Point', 'coordinates': [120.30797, 49.457912]}",Hulunbuir_TNH_0,34.3,23.3,20.0,254.0,1305.0,014AcclimaTR310N3.217009934,677.1,150725NK0106037,6.57,17.391,5.909,155.882,True,2025-11-10 03:26:31.117,2025-11-10 03:13:38.135,X01B0801020308,已入库,2025-10-22 09:59:45.346,X01A0801020308,已入库,2025-10-22 09:59:45.344,True,2025-11-10 03:29:16.773,True,2025-11-10 05:47:20.311
41,041-A,26-00-01-138,2025-05-09 13:57:48,"{'type': 'Point', 'coordinates': [120.308217, 49.45751]}",Hulunbuir_TNH_0,36.7,23.3,22.0,284.0,1277.0,014AcclimaTR310N3.217009934,675.4,150725NK0106037,6.49,17.634,10.575,70.0,True,2025-11-10 03:26:31.135,2025-11-10 03:13:38.141,X01B0801020309,已入库,2025-10-22 09:59:45.356,X01A0801020309,已入库,2025-10-22 09:59:45.354,True,2025-11-10 03:29:16.773,True,2025-11-10 05:47:20.311
42,042-A,26-00-01-139,2025-05-09 14:00:09,"{'type': 'Point', 'coordinates': [120.306038, 49.457009]}",Hulunbuir_TNH_0,35.4,23.3,20.8,321.0,1545.0,014AcclimaTR310N3.217009934,0.0,150725NK0106037,6.77,17.921,3.409,13.235,True,2025-11-10 03:26:31.155,2025-11-10 03:13:38.147,X01B0801020310,已入库,2025-10-22 09:59:45.362,X01A0801020310,已入库,2025-10-22 09:59:45.360,True,2025-11-10 03:29:16.773,True,2025-11-10 05:47:20.311
43,043-A,26-00-01-140,2025-05-09 14:03:23,"{'type': 'Point', 'coordinates': [120.303952, 49.456524]}",Hulunbuir_TNH_0,35.1,24.1,20.5,302.0,1465.0,014AcclimaTR310N3.217009934,0.0,150725NK0106037,6.53,18.053,7.126,19.333,True,2025-11-10 03:26:31.178,2025-11-10 03:13:38.152,X01B0801020311,已入库,2025-10-22 09:59:45.368,X01A0801020311,已入库,2025-10-22 09:59:45.366,True,2025-11-10 03:29:16.773,True,2025-11-10 05:47:20.311
44,044-A,26-00-01-141,2025-05-09 14:07:41,"{'type': 'Point', 'coordinates': [120.301981, 49.456066]}",Hulunbuir_TNH_0,29.3,22.9,16.1,229.0,1492.0,014AcclimaTR310N3.217009934,0.0,150725NK0106037,6.6,6.843,3.182,22.794,True,2025-11-10 03:26:31.196,2025-11-10 03:13:38.157,X01B0801020312,已入库,2025-10-22 09:59:45.374,X01A0801020312,已入库,2025-10-22 09:59:45.372,False,2025-11-10 03:29:16.773,False,2025-11-10 05:47:20.311
45,045-A,26-00-01-142,2025-05-09 14:13:43,"{'type': 'Point', 'coordinates': [120.29993, 49.45559]}",Hulunbuir_TNH_0,33.9,26.0,19.5,262.0,1338.0,014AcclimaTR310N3.217009934,0.0,150725NK0106037,6.47,1.756,8.046,30.0,True,2025-11-10 03:26:31.212,2025-11-10 03:13:38.162,X01B0801020313,已入库,2025-10-22 09:59:45.380,X01A0801020313,已入库,2025-10-22 09:59:45.377,False,2025-11-10 03:29:16.773,False,2025-11-10 05:47:20.311
46,046-A,26-00-01-143,2025-05-09 14:17:34,"{'type': 'Point', 'coordinates': [120.297798, 49.455093]}",Hulunbuir_TNH_0,31.3,24.9,17.6,265.0,1568.0,014AcclimaTR310N3.217009934,695.5,150725NK0106037,6.55,3.176,5.227,18.382,True,2025-11-10 03:26:31.229,2025-11-10 03:13:38.173,X01B0801020314,已入库,2025-10-22 09:59:45.387,X01A0801020314,已入库,2025-10-22 09:59:45.384,True,2025-11-10 03:29:16.773,True,2025-11-10 05:47:20.311
47,047-A,26-00-01-144,2025-05-09 14:23:12,"{'type': 'Point', 'coordinates': [120.297995, 49.454658]}",Hulunbuir_TNH_0,30.4,23.5,17.0,253.0,1557.0,014AcclimaTR310N3.217009934,694.8,150725NK0106037,6.4,4.542,10.805,46.0,True,2025-11-10 03:26:31.245,2025-11-10 03:13:38.179,X01B0801020315,已入库,2025-10-22 09:59:45.408,X01A0801020315,已入库,2025-10-22 09:59:45.399,True,2025-11-10 03:29:16.773,True,2025-11-10 05:47:20.311
