point_id,sensor_id,depth_cm,sample_time,location,farm_id,VWC,Temperature,Dielectric Constant,Apparent EC,Pore Water EC,sensor_SN,height,farm_code,pH,AP,NH₄⁺-N,AK,merged,merged_at,updated_at,grinding_storage_location,grinding_storage_status,grinding_storage_time,original_storage_location,original_storage_status,original_storage_time,chi2_merged,chi2_merged_at,min_chi2_merged,min_chi2_merged_at
42,042-A,26-00-01-087,2025-05-08 15:29:31,"{'type': 'Point', 'coordinates': [120.307916, 49.45437]}",Hulunbuir_TNH_0,28.3,20.7,15.4,209.0,1438.0,014AcclimaTR310N3.217009934,0.0,150725NK0106049,6.89,10.573,10.938,0.0,True,2025-11-10 03:26:30.296,2025-11-10 03:13:37.817,X01B0801010313,已入库,2025-10-22 09:59:44.983,X01A0801010313,已入库,2025-10-22 09:59:44.981,False,2025-11-10 03:29:16.773,False,2025-11-10 05:47:20.311
43,043-A,26-00-01-088,2025-05-08 15:33:29,"{'type': 'Point', 'coordinates': [120.309623, 49.454775]}",Hulunbuir_TNH_0,29.4,20.8,16.2,236.0,1523.0,014AcclimaTR310N3.217009934,0.0,150725NK0106049,7.03,17.629,6.182,12.0,True,2025-11-10 03:26:30.311,2025-11-10 03:13:37.823,X01B0801010314,已入库,2025-10-22 09:59:44.989,X01A0801010314,已入库,2025-10-22 09:59:44.987,True,2025-11-10 03:29:16.773,True,2025-11-10 05:47:20.311
44,044-A,26-00-01-089,2025-05-08 15:37:49,"{'type': 'Point', 'coordinates': [120.311538, 49.455211]}",Hulunbuir_TNH_0,30.8,20.5,17.2,240.0,1437.0,014AcclimaTR310N3.217009934,0.0,150725NK0106049,6.94,11.183,5.625,27.941,True,2025-11-10 03:26:30.326,2025-11-10 03:13:37.829,X01B0801010315,已入库,2025-10-22 09:59:44.995,X01A0801010315,已入库,2025-10-22 09:59:44.993,True,2025-11-10 03:29:16.773,True,2025-11-10 05:47:20.311
45,045-A,26-00-01-090,2025-05-08 15:43:14,"{'type': 'Point', 'coordinates': [120.313129, 49.455562]}",Hulunbuir_TNH_0,28.1,23.3,15.5,212.0,1464.0,014AcclimaTR310N3.217009934,0.0,150725NK0106049,6.7,18.75,5.091,18.667,True,2025-11-10 03:26:30.346,2025-11-10 03:13:37.835,X01B0801010316,已入库,2025-10-22 09:59:45.001,X01A0801010316,已入库,2025-10-22 09:59:44.998,True,2025-11-10 03:29:16.773,True,2025-11-10 05:47:20.311
46,046-A,26-00-01-091,2025-05-08 15:48:08,"{'type': 'Point', 'coordinates': [120.313422, 49.455198]}",Hulunbuir_TNH_0,28.6,21.5,15.7,213.0,1436.0,014AcclimaTR310N3.217009934,675.7,150725NK0106049,6.73,13.855,6.875,19.853,True,2025-11-10 03:26:30.361,2025-11-10 03:13:37.841,X01B0801010317,已入库,2025-10-22 09:59:45.006,X01A0801010317,已入库,2025-10-22 09:59:45.004,False,2025-11-10 03:29:16.773,False,2025-11-10 05:47:20.311
47,047-A,26-00-01-092,2025-05-08 15:51:57,"{'type': 'Point', 'coordinates': [120.311811, 49.454844]}",Hulunbuir_TNH_0,29.6,23.1,16.4,224.0,1427.0,014AcclimaTR310N3.217009934,0.0,150725NK0106049,6.73,18.319,7.455,6.0,True,2025-11-10 03:26:30.376,2025-11-10 03:13:37.847,X01B0801010318,已入库,2025-10-22 09:59:45.017,X01A0801010318,已入库,2025-10-22 09:59:45.015,True,2025-11-10 03:29:16.773,True,2025-11-10 05:47:20.311
48,048-A,26-00-01-093,2025-05-08 15:57:11,"{'type': 'Point', 'coordinates': [120.309777, 49.454423]}",Hulunbuir_TNH_0,35.4,21.8,20.7,285.0,1351.0,014AcclimaTR310N3.217009934,0.0,150725NK0106049,6.63,7.366,6.875,16.912,True,2025-11-10 03:26:30.391,2025-11-10 03:13:37.853,X01B0801020101,已入库,2025-10-22 09:59:45.023,X01A0801020101,已入库,2025-10-22 09:59:45.021,True,2025-11-10 03:29:16.773,True,2025-11-10 05:47:20.311
49,049-A,26-00-01-094,2025-05-08 16:01:00,"{'type': 'Point', 'coordinates': [120.308112, 49.454027]}",Hulunbuir_TNH_0,35.5,21.6,20.8,297.0,1402.0,014AcclimaTR310N3.217009934,0.0,150725NK0106049,6.62,21.25,4.909,26.667,True,2025-11-10 03:26:30.406,2025-11-10 03:13:37.858,X01B0801020102,已入库,2025-10-22 09:59:45.029,X01A0801020102,已入库,2025-10-22 09:59:45.027,True,2025-11-10 03:29:16.773,True,2025-11-10 05:47:20.311
50,050-A,26-00-01-095,2025-05-08 16:04:38,"{'type': 'Point', 'coordinates': [120.306369, 49.453628]}",Hulunbuir_TNH_0,21.9,21.0,11.6,171.0,1737.0,014AcclimaTR310N3.217009934,0.0,150725NK0106049,6.5,13.74,3.75,8.824,True,2025-11-10 03:26:30.421,2025-11-10 03:13:37.868,X01B0801020103,已入库,2025-10-22 09:59:45.034,X01A0801020103,已入库,2025-10-22 09:59:45.032,True,2025-11-10 03:29:16.773,True,2025-11-10 05:47:20.311
51,051-A,26-00-01-096,2025-05-08 16:08:44,"{'type': 'Point', 'coordinates': [120.304484, 49.45318]}",Hulunbuir_TNH_0,32.5,23.0,18.4,265.0,1455.0,014AcclimaTR310N3.217009934,0.0,150725NK0106049,6.73,18.147,5.636,2.667,True,2025-11-10 03:26:30.436,2025-11-10 03:13:37.873,X01B0801020104,已入库,2025-10-22 09:59:45.040,X01A0801020104,已入库,2025-10-22 09:59:45.038,True,2025-11-10 03:29:16.773,True,2025-11-10 05:47:20.311
